Subject_ID,Task,Valid_Trial_Count,Correct_Trial_Count,Overall_Accuracy,Total_Hesitation_Duration
xxxxxxxx106,Hanzi,12,12,1,4.091353553
xxxxxxxx106,STT,12,10,0.833333333,12.46273377
xxxxxxxx107,Dots,12,12,1,2.48149283
xxxxxxxx107,Hanzi,12,12,1,2.404466381
xxxxxxxx107,STT,12,12,1,6.426228929
xxxxxxxx108,Dots,12,10,0.833333333,4.722536294
xxxxxxxx108,Hanzi,12,11,0.916666667,2.857308849
xxxxxxxx108,STT,12,9,0.75,25.10627454
xxxxxxxx109,Dots,12,12,1,3.862445086
xxxxxxxx109,Hanzi,12,12,1,3.401638665
xxxxxxxx109,STT,12,5,0.416666667,10.66777038
xxxxxxxx110,Dots,12,12,1,6.248811995
xxxxxxxx110,Hanzi,12,12,1,3.702814551
xxxxxxxx110,STT,12,12,1,5.849972601
xxxxxxxx111,Dots,12,12,1,4.590562595
xxxxxxxx111,Hanzi,12,12,1,5.18242397
xxxxxxxx111,STT,12,10,0.833333333,13.62878145
xxxxxxxx112,Dots,12,12,1,9.900002621
xxxxxxxx112,Hanzi,12,6,0.5,6.218326275
xxxxxxxx112,STT,12,10,0.833333333,7.273124634
xxxxxxxx113,Dots,12,12,1,6.021044827
xxxxxxxx113,Hanzi,12,10,0.833333333,4.37678593
xxxxxxxx113,STT,12,10,0.833333333,19.11443368
xxxxxxxx114,Dots,12,10,0.833333333,7.003075974
xxxxxxxx114,Hanzi,12,12,1,4.068617159
xxxxxxxx114,STT,12,10,0.833333333,10.73171768
xxxxxxxx115,Dots,12,12,1,7.104398176
xxxxxxxx115,Hanzi,12,12,1,3.363626515
xxxxxxxx115,STT,12,8,0.666666667,11.56427441
xxxxxxxx116,Dots,12,12,1,8.510637715
xxxxxxxx116,Hanzi,12,12,1,4.290185976
xxxxxxxx116,STT,12,8,0.666666667,13.35794065
xxxxxxxx117,Dots,12,11,0.916666667,5.573291948
xxxxxxxx117,Hanzi,12,12,1,5.196258751
xxxxxxxx117,STT,12,12,1,9.127173185
xxxxxxxx118,Dots,12,12,1,4.744616478
xxxxxxxx118,Hanzi,12,10,0.833333333,2.481188985
xxxxxxxx118,STT,12,12,1,12.8572098
xxxxxxxx119,Dots,12,12,1,5.043931618
xxxxxxxx119,Hanzi,12,12,1,3.408152695
xxxxxxxx119,STT,12,2,0.166666667,13.65837701
xxxxxxxx120,Dots,12,12,1,5.835787537
xxxxxxxx120,Hanzi,12,12,1,4.589715601
xxxxxxxx120,STT,12,10,0.833333333,16.54802631
xxxxxxxx121,Dots,12,12,1,4.602615341
xxxxxxxx121,Hanzi,12,12,1,3.561957096
xxxxxxxx121,STT,12,12,1,15.47769017
xxxxxxxx122,Dots,12,12,1,3.722001561
xxxxxxxx122,Hanzi,12,12,1,2.809217168
xxxxxxxx122,STT,12,11,0.916666667,9.1254381
