Subject_ID,Task,Valid_Item_Count,Correct_Item_Count,Overall_Accuracy,Card_Completion_Time,Completion_Time_Was_Missing,Card_Completion_Time_Imputed,Accuracy_Z,Completion_Time_Z
xxxxxxxx048,CW,12,12,1.0,8.7841,False,8.7841,0.43493459490912884,-0.8898168408877078
xxxxxxxx048,W,12,12,1.0,5.319,False,5.319,0.23849196668686676,-1.1527445421117182
xxxxxxxx049,CW,12,12,1.0,14.0841,False,14.0841,0.43493459490912884,0.03844979275686125
xxxxxxxx049,W,12,12,1.0,10.9522,False,10.9522,0.23849196668686676,1.6217579519249643
xxxxxxxx050,CW,12,12,1.0,11.49,False,11.49,0.43493459490912884,-0.4158929382501909
xxxxxxxx050,W,12,12,1.0,6.3037,False,6.3037,0.23849196668686676,-0.6677533105066054
xxxxxxxx051,CW,12,12,1.0,10.6718,False,10.6718,0.43493459490912884,-0.5591962891271697
xxxxxxxx051,W,12,12,1.0,7.6068,False,7.6068,0.23849196668686676,-0.02594151614830096
xxxxxxxx052,CW,12,12,1.0,12.0607,False,12.0607,0.43493459490912884,-0.315937887717935
xxxxxxxx052,W,12,12,1.0,7.2765,False,7.2765,0.23849196668686676,-0.18862314892901433
xxxxxxxx053,CW,12,10,0.8333333333333334,11.86,False,11.86,-0.539812440490054,-0.35108941854292863
xxxxxxxx053,W,12,12,1.0,6.625,False,6.625,0.23849196668686676,-0.5095044197635133
xxxxxxxx054,CW,12,12,1.0,10.5571,False,10.5571,0.43493459490912884,-0.5792853802364208
xxxxxxxx054,W,12,12,1.0,8.3082,False,8.3082,0.23849196668686676,0.31951684665034424
xxxxxxxx055,CW,12,12,1.0,9.9973,False,9.9973,0.43493459490912884,-0.6773313541070304
xxxxxxxx055,W,12,12,1.0,7.964,False,7.964,0.23849196668686676,0.149989090055971
xxxxxxxx056,CW,11,8,0.6666666666666666,,True,12.0607,-1.5145594758892373,-0.315937887717935
xxxxxxxx056,W,12,12,1.0,6.3427,False,6.3427,0.23849196668686676,-0.6485447616769118
xxxxxxxx057,CW,12,5,0.4166666666666667,8.4319,False,8.4319,-2.976680028988011,-0.9515027858631073
xxxxxxxx057,W,12,12,1.0,7.0331,False,7.0331,0.23849196668686676,-0.308504194702026
xxxxxxxx058,CW,12,11,0.9166666666666666,14.8802,False,14.8802,-0.052438922790462875,0.17788244691619
xxxxxxxx058,W,12,12,1.0,7.93,False,7.93,0.23849196668686676,0.13324317569162228
xxxxxxxx059,CW,12,12,1.0,7.8103,False,7.8103,0.43493459490912884,-1.0603726989713083
xxxxxxxx059,W,12,12,1.0,4.9209,False,4.9209,0.23849196668686676,-1.348819498242515
xxxxxxxx060,CW,12,12,1.0,8.831,False,8.831,0.43493459490912884,-0.8816025569031929
xxxxxxxx060,W,12,12,1.0,6.7856,False,6.7856,0.23849196668686676,-0.43040460073662096
xxxxxxxx061,CW,12,12,1.0,7.6487,False,7.6487,0.43493459490912884,-1.0886760740650747
xxxxxxxx061,W,12,12,1.0,5.731,False,5.731,0.23849196668686676,-0.9498234621672617
xxxxxxxx062,CW,12,12,1.0,10.5471,False,10.5471,0.43493459490912884,-0.5810368267149955
xxxxxxxx062,W,12,12,1.0,5.8987,False,5.8987,0.23849196668686676,-0.8672267021995786
xxxxxxxx063,CW,12,12,1.0,6.8615,False,6.8615,0.43493459490912884,-1.2265499408584717
xxxxxxxx063,W,12,12,1.0,5.8109,False,5.8109,0.23849196668686676,-0.9104705634110428
xxxxxxxx064,CW,12,12,1.0,7.2536,False,7.2536,0.43493459490912884,-1.1578757244335596
xxxxxxxx064,W,12,12,1.0,6.3746,False,6.3746,0.23849196668686676,-0.6328331537880083
xxxxxxxx065,CW,12,12,1.0,21.1759,False,21.1759,0.43493459490912884,1.2805406064324378
xxxxxxxx065,W,12,12,1.0,7.531,False,7.531,0.23849196668686676,-0.06327505464293648
xxxxxxxx066,CW,12,12,1.0,10.9472,False,10.9472,0.43493459490912884,-0.5109614531072233
xxxxxxxx066,W,12,12,1.0,6.4235,False,6.4235,0.23849196668686676,-0.6087485887169309
