Feature,English_Description,Interaction_Coef,Z_Score,HDI_2.5%,HDI_97.5%,Interaction_PValue,Significant_Interaction,Interaction_FDR_PValue,Significant_Interaction_FDR,Dots_Age_Coef,Dots_Age_PValue,Dots_Age_Significant,STT_Age_Coef,STT_Age_PValue,STT_Age_Significant
F2amplitudeLogRelF0_sma3nz_stddevNorm,F2-coefficient of variation [tongue position],0.0283495848597355,0.8358850675364969,-0.0381250878950274,0.0948242576144984,0.4032195637413992,False,0.5416382199511333,False,-0.0434020464441681,0.1190597104787217,False,-0.0150524615844326,0.6733259912902883,False
F3bandwidth_sma3nz_stddevNorm,F3-coefficient of variation [timbre],0.0248914059137955,0.8168263322305993,-0.034836290985753,0.0846191028133441,0.414027681745895,False,0.5479778140754493,False,-0.0759512312886129,0.0580494695909182,False,-0.0510598253748174,0.1451850481841585,False
mfcc2V_sma3nz_amean,MFCC coefficient 2-mean [vocal tract feature],-0.0225386752409913,-0.8041963514531163,-0.0774702891341917,0.032392938652209,0.4212835856122563,False,0.5495003290594648,False,0.0050627412507836,0.9127227486943574,False,-0.0174759339902076,0.7211728150183649,False
mfcc4_sma3_stddevNorm,MFCC coefficient 4-coefficient of variation [vocal tract feature],0.0269169721236399,0.759879917454094,-0.0425114522241076,0.0963453964713875,0.4473263668692603,False,0.5751339002604775,False,-0.0140461192332203,0.6006126337582101,False,0.0128708528904196,0.7274486338845578,False
mfcc3_sma3_stddevNorm,MFCC coefficient 3-coefficient of variation [vocal tract feature],0.0289568997942286,0.7356238818681132,-0.0481960108107911,0.1061098103992484,0.4619596245915074,False,0.5786990164407951,False,0.0006613982826393,0.976655561078752,False,0.0296182980768679,0.3648129046172941,False
mfcc4V_sma3nz_stddevNorm,MFCC coefficient 4-coefficient of variation [vocal tract feature],0.0265768058010875,0.7339828128654399,-0.0443928932941435,0.0975465048963185,0.4629592131526361,False,0.5786990164407951,False,-0.0293183683093258,0.303547662473103,False,-0.0027415625082382,0.906226516609938,False
logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-H2-coefficient of variation,-0.0224942182660994,-0.6450345206238657,-0.0908450838273922,0.0458566472951934,0.5189048152358158,False,0.639745662619499,False,-0.002254286182403,0.925522947802176,False,-0.0247485044485025,0.3994390378416903,False
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0 semitone-falling slope [pitch],-0.0177473614471402,-0.5386275815884461,-0.0823278427025047,0.0468331198082241,0.5901438520853448,False,0.7159372626323341,False,-0.0792814549020762,0.0022038472086573,True,-0.0970288163492165,0.0018636807251419,True
F2frequency_sma3nz_stddevNorm,F2-coefficient of variation [tongue position],-0.017497422464117,-0.5229914542450019,-0.0830720083417735,0.0480771634135394,0.6009802002126055,False,0.7159372626323341,False,0.040009494219554,0.0848856860913006,False,0.022512071755437,0.4042701029150644,False
F1bandwidth_sma3nz_stddevNorm,F1-coefficient of variation [mouth opening],0.0162133784173205,0.517840950712375,-0.0451533822728724,0.0775801391075136,0.6045692440006377,False,0.7159372626323341,False,0.030577317299925,0.3418849691589439,False,0.0467906957172456,0.1131664763240123,False
mfcc2V_sma3nz_stddevNorm,MFCC coefficient 2-coefficient of variation [vocal tract feature],-0.0147850361466221,-0.4327484597253312,-0.0817492741378384,0.0521792018445941,0.6651975203027891,False,0.7563606212294373,False,0.0034635994336838,0.8990855079986317,False,-0.0113214367129382,0.7492673654622328,False
mfcc4V_sma3nz_amean,MFCC coefficient 4-mean [vocal tract feature],0.0124822282590676,0.4229653359583941,-0.0453597869319341,0.0703242434500694,0.6723205522039442,False,0.7563606212294373,False,0.0125312289979662,0.7510088078602293,False,0.0250134572570339,0.5290889170538984,False
F1bandwidth_sma3nz_amean,F1-mean [mouth opening],0.0161031203727781,0.4508014194577168,-0.0539102260106742,0.0861164667562305,0.6521326781802137,False,0.7563606212294373,False,-0.0129775210010624,0.7248521810457977,False,0.0031255993717156,0.9470630399339426,False
mfcc4_sma3_amean,MFCC coefficient 4-mean [vocal tract feature],0.0143064431736506,0.4304680844692064,-0.0508334118632938,0.0794462982105951,0.6668551780929299,False,0.7563606212294373,False,-0.0051677008532046,0.898209404352131,False,0.0091387423204459,0.8537205070791738,False
MeanVoicedSegmentLengthSec,Mean voiced segment duration [voicing continuity],0.0159428212149417,0.3780519441237032,-0.0667123008310943,0.0985979432609779,0.7053920065900081,False,0.7742107389402528,False,0.2310520034551056,7.524193171622821e-07,True,0.2469948246700474,2.4789797659074964e-07,True
F1frequency_sma3nz_stddevNorm,F1-coefficient of variation [mouth opening],-0.0140344120150873,-0.3825603680882104,-0.0859379593873247,0.05786913535715,0.702045760405428,False,0.7742107389402528,False,0.0582798518216204,0.0953461327232656,False,0.044245439806533,0.2337767741199021,False
VoicedSegmentsPerSec,VoicedSegmentsPerSec,0.0152285571077125,0.3371538834437184,-0.0733006676671789,0.1037577818826039,0.7360008996994114,False,0.7980732647343015,False,-0.2099566997834052,0.0002309386147126,True,-0.1947281426756927,1.6626462873148284e-08,True
equivalentSoundLevel_dBp,equivalentSoundLevel_dBp,0.0059088073757014,0.2706644815772024,-0.0368794535327451,0.048697068284148,0.7866490969924784,False,0.8428383182062269,False,0.1608922591337966,0.0262430700979537,True,0.166801066509498,0.0227179512486537,True
F3bandwidth_sma3nz_amean,F3-mean [timbre],-0.0074502390617722,-0.2360589740478987,-0.0693096477962636,0.054409169672719,0.8133869083064944,False,0.8612331970304059,False,0.1334539045323076,0.0002840274596901,True,0.1260036654705353,0.0008646170819488,True
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0 semitone-median [pitch],0.0031863393890108,0.2126609825318879,-0.0261807082381897,0.0325533870162113,0.8315914020176183,False,0.8702700718789028,False,0.1062670692795128,0.1406021359890142,False,0.1094534086685236,0.1213062816984311,False
F2bandwidth_sma3nz_stddevNorm,F2-coefficient of variation [tongue position],0.0061953732696549,0.1940518651772239,-0.0563803283214314,0.0687710748607413,0.8461352711364316,False,0.875312349451481,False,0.0893652299836687,0.003482145063815,True,0.0955606032533237,0.0043020484647371,True
alphaRatioV_sma3nz_stddevNorm,Alpha ratio-coefficient of variation [energy distribution],0.0059165680600711,0.181241514576489,-0.0580669702856395,0.0699001064057818,0.8561780102300889,False,0.8756366013716819,False,-0.0285406393815895,0.3253735926375488,False,-0.0226240713215184,0.5020825324649913,False
