Group,Task,Feature,Devices,N_complete_targets,ICC_2_1_absolute_agreement,ICC_Category
task_mean,CW,Word_Duration,"1,2,3",101,0.7210311585376984,moderate
task_mean,CW,alphaRatioUV_sma3nz_amean,"1,2,3",101,0.1995953413699397,poor
task_mean,CW,alphaRatioV_sma3nz_amean,"1,2,3",101,0.6496172684720477,moderate
task_mean,CW,alphaRatioV_sma3nz_stddevNorm,"1,2,3",101,0.0143494473403967,poor
task_mean,CW,equivalentSoundLevel_dBp,"1,2,3",101,0.0281188647634838,poor
task_mean,CW,hammarbergIndexUV_sma3nz_amean,"1,2,3",101,0.170205925794177,poor
task_mean,CW,hammarbergIndexV_sma3nz_amean,"1,2,3",101,0.6393586521244791,moderate
task_mean,CW,hammarbergIndexV_sma3nz_stddevNorm,"1,2,3",101,0.0764912423529413,poor
task_mean,CW,jitterLocal_sma3nz_amean,"1,2,3",101,0.4817809694855034,poor
task_mean,CW,jitterLocal_sma3nz_stddevNorm,"1,2,3",101,0.322479356978579,poor
task_mean,CW,logRelF0-H1-A3_sma3nz_amean,"1,2,3",101,0.7010925807199456,moderate
task_mean,CW,logRelF0-H1-A3_sma3nz_stddevNorm,"1,2,3",101,0.0999723681083148,poor
task_mean,CW,logRelF0-H1-H2_sma3nz_amean,"1,2,3",101,0.5632012259407366,moderate
task_mean,CW,logRelF0-H1-H2_sma3nz_stddevNorm,"1,2,3",101,-0.0148161003719048,poor
task_mean,CW,loudnessPeaksPerSec,"1,2,3",101,0.5176825498341162,moderate
task_mean,CW,loudness_sma3_amean,"1,2,3",101,0.0844238354581243,poor
task_mean,CW,loudness_sma3_meanFallingSlope,"1,2,3",101,0.2471969525772894,poor
task_mean,CW,loudness_sma3_meanRisingSlope,"1,2,3",101,0.1392375594671975,poor
task_mean,CW,loudness_sma3_pctlrange0-2,"1,2,3",101,0.1494968080747815,poor
task_mean,CW,loudness_sma3_percentile20.0,"1,2,3",101,0.1162985000980773,poor
task_mean,CW,loudness_sma3_percentile50.0,"1,2,3",101,0.0916660665269878,poor
task_mean,CW,loudness_sma3_percentile80.0,"1,2,3",101,0.094469646877322,poor
task_mean,CW,loudness_sma3_stddevFallingSlope,"1,2,3",101,0.2962135128864356,poor
task_mean,CW,loudness_sma3_stddevNorm,"1,2,3",101,0.4108424087641464,poor
task_mean,CW,loudness_sma3_stddevRisingSlope,"1,2,3",101,0.1102569970622368,poor
task_mean,CW,mfcc1V_sma3nz_amean,"1,2,3",101,0.51195406757134,moderate
task_mean,CW,mfcc1V_sma3nz_stddevNorm,"1,2,3",101,0.2197166211020336,poor
task_mean,CW,mfcc1_sma3_amean,"1,2,3",101,0.5493809432167134,moderate
task_mean,CW,mfcc1_sma3_stddevNorm,"1,2,3",101,0.4161853533660634,poor
task_mean,CW,mfcc2V_sma3nz_amean,"1,2,3",101,0.6111052678869899,moderate
task_mean,CW,mfcc2V_sma3nz_stddevNorm,"1,2,3",101,-0.0091370499548572,poor
task_mean,CW,mfcc2_sma3_amean,"1,2,3",101,0.567701788891367,moderate
task_mean,CW,mfcc2_sma3_stddevNorm,"1,2,3",101,-0.0684441996418141,poor
task_mean,CW,mfcc3V_sma3nz_amean,"1,2,3",101,0.5435132081929803,moderate
task_mean,CW,mfcc3V_sma3nz_stddevNorm,"1,2,3",101,0.006710528386427,poor
task_mean,CW,mfcc3_sma3_amean,"1,2,3",101,0.5543313353740325,moderate
task_mean,CW,mfcc3_sma3_stddevNorm,"1,2,3",101,0.0231334734595343,poor
task_mean,CW,mfcc4V_sma3nz_amean,"1,2,3",101,0.4344459105325021,poor
task_mean,CW,mfcc4V_sma3nz_stddevNorm,"1,2,3",101,-0.0017378902608299,poor
task_mean,CW,mfcc4_sma3_amean,"1,2,3",101,0.447018395118714,poor
task_mean,CW,mfcc4_sma3_stddevNorm,"1,2,3",101,-0.0466016510159432,poor
task_mean,CW,shimmerLocaldB_sma3nz_amean,"1,2,3",101,0.5027940803335319,moderate
task_mean,CW,shimmerLocaldB_sma3nz_stddevNorm,"1,2,3",101,0.1698736216205723,poor
task_mean,CW,slopeUV0-500_sma3nz_amean,"1,2,3",101,0.240635637260428,poor
task_mean,CW,slopeUV500-1500_sma3nz_amean,"1,2,3",101,0.2307297725958539,poor
task_mean,CW,slopeV0-500_sma3nz_amean,"1,2,3",101,0.2495581866574161,poor
task_mean,CW,slopeV0-500_sma3nz_stddevNorm,"1,2,3",101,0.0026202360875067,poor
task_mean,CW,slopeV500-1500_sma3nz_amean,"1,2,3",101,0.3706661569290425,poor
task_mean,CW,slopeV500-1500_sma3nz_stddevNorm,"1,2,3",101,-0.011681095055854,poor
task_mean,CW,spectralFluxUV_sma3nz_amean,"1,2,3",101,0.1363306330166575,poor
task_mean,CW,spectralFluxV_sma3nz_amean,"1,2,3",101,0.0246307627192384,poor
task_mean,CW,spectralFluxV_sma3nz_stddevNorm,"1,2,3",101,0.5016488663576978,moderate
task_mean,CW,spectralFlux_sma3_amean,"1,2,3",101,0.0248333973672738,poor
task_mean,CW,spectralFlux_sma3_stddevNorm,"1,2,3",101,0.4488396572462139,poor
