Device_ID,Device_Name,Task,Feature,N,Mean,SD,Median,Q1,Q3,IQR,Min,Max
2,iPad_2021,STT,loudness_sma3_percentile20.0,996,0.4381586734250367,0.2520971906149807,0.3867187649011612,0.2905115857720375,0.5129458755254745,0.222434289753437,0.060047723352909,2.8038270473480225
3,Huawei_P30_phone,STT,loudness_sma3_percentile20.0,1041,1.163273761895245,0.6659885912639786,1.0119708776474,0.673021674156189,1.546208739280701,0.8731870651245119,0.0464033149182796,4.236876010894775
1,ASUS_FX63VD_laptop,STT,loudness_sma3_percentile50.0,1190,1.1535712146082846,0.4519686355083613,1.084939956665039,0.8330827057361603,1.3893280625343325,0.556245356798172,0.1553719490766525,3.5774025917053223
2,iPad_2021,STT,loudness_sma3_percentile50.0,996,0.7021342657177324,0.436924902032135,0.6033756732940674,0.4499641358852386,0.8285718262195587,0.37860769033432,0.095911830663681,4.860764026641846
3,Huawei_P30_phone,STT,loudness_sma3_percentile50.0,1041,2.16440101860737,0.946956165455561,2.030637264251709,1.5180139541625977,2.7274320125579834,1.2094180583953855,0.0495575256645679,5.327866077423096
1,ASUS_FX63VD_laptop,STT,loudness_sma3_percentile80.0,1190,1.618683369207282,0.6126148936617419,1.4898210167884829,1.1827216446399689,1.9313535094261165,0.7486318647861476,0.2411516159772873,3.86894154548645
2,iPad_2021,STT,loudness_sma3_percentile80.0,996,0.9610561126446628,0.5877775251847857,0.8068631291389465,0.6011054813861847,1.1344402432441711,0.5333347618579865,0.1313512772321701,5.0852370262146
3,Huawei_P30_phone,STT,loudness_sma3_percentile80.0,1041,2.994932864659343,1.0408326226366704,2.9074175357818604,2.245158195495605,3.6313865184783936,1.3862283229827883,0.0522617101669311,5.847530364990234
1,ASUS_FX63VD_laptop,STT,loudness_sma3_stddevFallingSlope,1190,1.1280707482531025,2.175580463043614,0.0,0.0,1.40816792845726,1.40816792845726,0.0,17.247333526611328
2,iPad_2021,STT,loudness_sma3_stddevFallingSlope,996,0.8975678903432226,1.553294425407704,0.2014339119195937,0.0,1.3001387417316437,1.3001387417316437,0.0,12.628588676452637
