Group,Task,Feature,Device_1,Device_1_Name,Device_2,Device_2_Name,Device_Pair,N,ICC_2_1_absolute_agreement,ICC_Category,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,Device1_mean,Device1_sd,Device2_mean,Device2_sd,Mean_difference_D2_minus_D1,SD_difference,Paired_t,Paired_t_p,Bland_Altman_bias,Bland_Altman_lower_LOA,Bland_Altman_upper_LOA
task_mean,STT,loudness_sma3_meanRisingSlope,2,iPad_2021,3,Huawei_P30_phone,2_vs_3,101,0.0555001492379804,poor,0.2755939088895325,0.0052798573681995,0.4637041351193943,1.0416907109866637e-06,4.2641379111187225,2.7772821990902155,14.17452502990588,4.599772341257122,9.910387118787158,4.672242671161371,21.316991627109267,5.641555719657613e-39,9.910387118787158,0.7527914833108706,19.067982754263447
task_mean,STT,loudness_sma3_pctlrange0-2,1,ASUS_FX63VD_laptop,2,iPad_2021,1_vs_2,101,0.3110110723641306,poor,0.5732141043488768,3.738652901378832e-10,0.7450786255096097,4.1152311507676244e-19,0.9491246715027076,0.3357481728170637,0.5250023523789875,0.3167847060657695,-0.4241223191237203,0.3019029839038976,-14.118365112587098,1.5123372797570623e-25,-0.4241223191237203,-1.0158521675753596,0.1676075293279189
task_mean,STT,loudness_sma3_pctlrange0-2,1,ASUS_FX63VD_laptop,3,Huawei_P30_phone,1_vs_3,101,0.2434465197420155,poor,0.8025388212370556,6.149627896165022e-24,0.8331391962725684,3.274514997470817e-27,0.9491246715027076,0.3357481728170637,1.8493969317544068,0.5563264234149305,0.900272260251699,0.3498865048870176,25.85874023234058,4.399076640624614e-46,0.900272260251699,0.2144947106731445,1.5860498098302536
task_mean,STT,loudness_sma3_pctlrange0-2,2,iPad_2021,3,Huawei_P30_phone,2_vs_3,101,0.0666637615865349,poor,0.4087607286466075,2.197711040891259e-05,0.6371345369831101,7.89397938700117e-13,0.5250023523789875,0.3167847060657695,1.8493969317544068,0.5563264234149305,1.3243945793754193,0.5155338699223533,25.817897858028918,5.048407618475687e-46,1.3243945793754193,0.3139481943276068,2.334840964423232
task_mean,STT,loudness_sma3_percentile20.0,1,ASUS_FX63VD_laptop,2,iPad_2021,1_vs_2,101,0.1560920080112769,poor,0.3180869745768159,0.0011887329117011,0.4634944670937682,1.0549770328286343e-06,0.6796641033400994,0.1659123566917288,0.4317820295977621,0.177668555644885,-0.2478820737423372,0.2008488641128594,-12.403276567280855,6.008438901555414e-22,-0.2478820737423372,-0.6415458474035417,0.1457816999188672
task_mean,STT,loudness_sma3_percentile20.0,1,ASUS_FX63VD_laptop,3,Huawei_P30_phone,1_vs_3,101,0.2191849088792331,poor,0.6590324155989784,6.773284300832389e-14,0.6923937099592311,1.0585284279866932e-15,0.6796641033400994,0.1659123566917288,1.1357472141800593,0.3797081408882688,0.45608311083996,0.2977740333515102,15.39280804725092,3.962763830189465e-28,0.45608311083996,-0.127553994529,1.03972021620892
task_mean,STT,loudness_sma3_percentile20.0,2,iPad_2021,3,Huawei_P30_phone,2_vs_3,101,0.0509790021883043,poor,0.2531144643636934,0.0106543261840776,0.5048107163657541,7.322158214796311e-08,0.4317820295977621,0.177668555644885,1.1357472141800593,0.3797081408882688,0.7039651845822974,0.3762885491561066,18.801429282176937,1.3340979722883895e-34,0.7039651845822974,-0.0335603717636715,1.4414907409282662
task_mean,STT,loudness_sma3_percentile50.0,1,ASUS_FX63VD_laptop,2,iPad_2021,1_vs_2,101,0.1676539517246665,poor,0.3813619893496111,8.329547920776355e-05,0.5418054746651135,4.884408325115852e-09,1.154906982284273,0.2585789758673971,0.6920878171668178,0.3312779884941639,-0.4628191651174553,0.3335747214392917,-13.94372758353015,3.4664079044211286e-25,-0.4628191651174553,-1.116625619138467,0.1909872889035563
task_mean,STT,loudness_sma3_percentile50.0,1,ASUS_FX63VD_laptop,3,Huawei_P30_phone,1_vs_3,101,0.1600634565863636,poor,0.7129036615642825,6.138704601419229e-17,0.7264997087944088,8.075627459464125e-18,1.154906982284273,0.2585789758673971,2.136065392773414,0.6049540873256283,0.9811584104891412,0.4580346759421891,21.52788971653554,2.5095510667359196e-39,0.9811584104891412,0.0834104456424503,1.878906375335832
task_mean,STT,loudness_sma3_percentile50.0,2,iPad_2021,3,Huawei_P30_phone,2_vs_3,101,0.0428150420012898,poor,0.2731550562223039,0.0057137565387944,0.6194408852649971,4.998471570793188e-12,0.6920878171668178,0.3312779884941639,2.136065392773414,0.6049540873256283,1.443977575606597,0.6051691094806949,23.97973526273801,2.9434287696218377e-43,1.443977575606597,0.2578461210244347,2.630109030188758
task_mean,STT,loudness_sma3_percentile80.0,1,ASUS_FX63VD_laptop,2,iPad_2021,1_vs_2,101,0.2024670231023722,poor,0.46667129511069,8.698644054519446e-07,0.6784158415841584,6.4600590217554495e-15,1.628788775718636,0.3792981695312692,0.9567843827135366,0.4610038953674025,-0.6720043930050993,0.4395330888921144,-15.365306360827326,4.495800647314032e-28,-0.6720043930050993,-1.5334892472336437,0.1894804612234449
task_mean,STT,loudness_sma3_percentile80.0,1,ASUS_FX63VD_laptop,3,Huawei_P30_phone,1_vs_3,101,0.1644137008414063,poor,0.7785275569547186,9.55706573228213e-22,0.7919510774606872,6.175076822048351e-23,1.628788775718636,0.3792981695312692,2.985144144668169,0.6805904528196848,1.356355368949533,0.4529037495248152,30.0973501992071,6.258243136286437e-52,1.356355368949533,0.4686640198808951,2.2440467180181707
task_mean,STT,loudness_sma3_percentile80.0,2,iPad_2021,3,Huawei_P30_phone,2_vs_3,101,0.0405433301738542,poor,0.3091713412516035,0.0016557076065231,0.6694467093768199,1.9586619219281046e-14,0.9567843827135366,0.4610038953674025,2.985144144668169,0.6805904528196848,2.0283597619546323,0.6940604732138453,29.37029856798909,5.643666950483863e-51,2.0283597619546323,0.6680012344554955,3.3887182894537693
task_mean,STT,loudness_sma3_stddevFallingSlope,1,ASUS_FX63VD_laptop,2,iPad_2021,1_vs_2,101,0.498841001731988,poor,0.6246969062184348,2.924303344288563e-12,0.3666713260646724,0.0001623533055273,1.120046495686473,1.351243770961338,0.8545928955860048,0.7030708562041854,-0.2654536001004681,1.0645276436269675,-2.506065183144565,0.0138214223775755,-0.2654536001004681,-2.3519277816093247,1.821020581408388
