Feature,English_Description,Interaction_Coef,Z_Score,HDI_2.5%,HDI_97.5%,Interaction_PValue,Significant_Interaction,Interaction_FDR_PValue,Significant_Interaction_FDR,W_Age_Coef,W_Age_PValue,W_Age_Significant,C_Age_Coef,C_Age_PValue,C_Age_Significant
F3bandwidth_sma3nz_stddevNorm,F3-coefficient of variation [timbre],-0.03160906883353755,-1.0408929854929891,-0.09112890014875288,0.027910762481677787,0.2979252175953929,False,0.7520414103116044,False,-0.04913418596185707,0.1637816576590102,False,-0.08074325479539463,0.04349440114199732,True
F0semitoneFrom27.5Hz_sma3nz_amean,F0 semitone-mean [pitch],-0.017695833284244112,-1.0061611847424203,-0.05216728156019565,0.016775614991707422,0.31433804038930924,False,0.7520414103116044,False,0.09535453383646128,0.18286442136870062,False,0.07765870055221717,0.259624088913478,False
mfcc2V_sma3nz_stddevNorm,MFCC coefficient 2-coefficient of variation [vocal tract feature],-0.03595570031347678,-0.9995494527610681,-0.10646063873322735,0.03454923810627379,0.31752859546489964,False,0.7520414103116044,False,0.03150497666694003,0.282610383607263,False,-0.004450723646536751,0.8467676996144462,False
spectralFluxUV_sma3nz_amean,Spectral flux-mean [timbre change],0.034745974293250555,1.048014973589906,-0.030236026280168547,0.09972797486666965,0.2946317081556006,False,0.7520414103116044,False,0.02714038282089907,0.479727397994701,False,0.06188635711414962,0.058763995104614386,False
F1frequency_sma3nz_amean,F1-mean [mouth opening],-0.023205472484458353,-0.8099811902039353,-0.07935829012962717,0.032947345160710455,0.41795098652625406,False,0.7686632985301509,False,0.053478808689917674,0.2913334931082646,False,0.03027333620545932,0.5705240653952846,False
F1amplitudeLogRelF0_sma3nz_stddevNorm,F1-coefficient of variation [mouth opening],0.029972812632622164,0.879366836972767,-0.03683288243108508,0.09677850769632941,0.3792024072105017,False,0.7686632985301509,False,-0.014825098775778643,0.5992505079308017,False,0.015147713856843522,0.6753548064432862,False
F3bandwidth_sma3nz_amean,F3-mean [timbre],-0.031022602040159216,-0.9321319921038697,-0.09625402904168681,0.03420882496136837,0.35126831638287015,False,0.7686632985301509,False,0.14635788511711953,3.0832566869520846e-05,True,0.11533528307696031,0.00323765653729291,True
F3frequency_sma3nz_stddevNorm,F3-coefficient of variation [timbre],0.020989216966183593,0.6727632751128306,-0.040159877783110434,0.08213831171547761,0.501097905249932,False,0.7686632985301509,False,0.12373186597396772,0.0004857434025986873,True,0.14472108294015132,0.00016699518315266282,True
F2bandwidth_sma3nz_amean,F2-mean [tongue position],-0.021208431856105065,-0.6350284968173313,-0.08666774060571428,0.044250876893504154,0.5254098295390686,False,0.7686632985301509,False,0.02751574674498676,0.24029404007891264,False,0.006307314888881695,0.8147709119495896,False
F3frequency_sma3nz_amean,F3-mean [timbre],-0.024049672620412146,-0.8279471294629611,-0.08098248470296981,0.032883139462145515,0.40770044257107474,False,0.7686632985301509,False,-0.03070319799683048,0.5284549405763308,False,-0.05475287061724263,0.24462524916924178,False
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0 semitone-percentile range [pitch],0.02221364704852619,0.6846812372721607,-0.04137616065319223,0.0858034547502446,0.4935450913776499,False,0.7686632985301509,False,0.26620201555456624,5.7809259523980636e-15,True,0.2884156626030924,0.0,True
loudness_sma3_stddevRisingSlope,Loudness-standard deviation [intensity],0.030510755901614672,0.953478576830187,-0.03220809591147146,0.0932296077147008,0.3403476455924297,False,0.7686632985301509,False,0.08237390471353137,0.010799641831712925,True,0.11288466061514604,0.00334159663852307,True
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0 semitone-median [pitch],-0.014677970059694073,-0.8648089674788085,-0.04794406974049478,0.018588129621106633,0.38714364840090965,False,0.7686632985301509,False,0.11192937092638526,0.1149201799660414,False,0.09725140086669119,0.15131261078369795,False
StddevUnvoicedSegmentLength,Unvoiced segment duration SD [pause stability],0.027644359715985955,0.7053966627438373,-0.04916766379511599,0.1044563832270879,0.48056342026458887,False,0.7686632985301509,False,0.002544506190678049,0.9107301286667843,False,0.030188865906664003,0.3538474435290677,False
slopeV0-500_sma3nz_stddevNorm,slopeV0-500-coefficient of variation,-0.02560951956254471,-0.7016637438732675,-0.0971461477279208,0.04592710860283138,0.48288888858594303,False,0.7686632985301509,False,-0.001708996639566312,0.9405370096049862,False,-0.02731851620211102,0.35504332452371057,False
slopeV500-1500_sma3nz_amean,slopeV500-1500-mean,0.021305370674384507,0.6906862677710967,-0.03915410053611451,0.08176484188488352,0.48976272092071027,False,0.7686632985301509,False,-0.08117010630456338,0.012734359619026261,True,-0.05986473563017887,0.08856199511864271,False
