Feature,English_Description,Interaction_Coef,Z_Score,HDI_2.5%,HDI_97.5%,Interaction_PValue,Significant_Interaction,Interaction_FDR_PValue,Significant_Interaction_FDR,C_Age_Coef,C_Age_PValue,C_Age_Significant,CW_Age_Coef,CW_Age_PValue,CW_Age_Significant
slopeV0-500_sma3nz_stddevNorm,slopeV0-500-coefficient of variation,0.026494048271691165,0.7475254849924928,-0.04297292730979846,0.09596102385318078,0.4547464252260629,False,0.6206454065762818,False,-0.0272168493845432,0.35308650788343066,False,-0.0007228011128520354,0.975710254905739,False
F3frequency_sma3nz_stddevNorm,F3-coefficient of variation [timbre],0.02261296477906727,0.680648167027274,-0.042503512593589574,0.08772944215172411,0.49609414119976303,False,0.6470793146083865,False,0.14957296324822855,2.865142641884298e-05,True,0.17218592802729582,6.677430919976857e-06,True
slopeV500-1500_sma3nz_stddevNorm,slopeV500-1500-coefficient of variation,-0.020599130080364306,-0.5940675058141661,-0.08856159993836689,0.04736333977763828,0.5524669632430712,False,0.7103146670268058,False,-0.0008702606320452373,0.971784657425525,False,-0.021469390712409542,0.505494946141964,False
loudness_sma3_amean,Loudness-mean [intensity],0.01349794165812301,0.5797442218093642,-0.03213591661018854,0.05913179992643455,0.562087117142086,False,0.7125047963772921,False,0.1526639967406335,0.013878193550527485,True,0.1661619383987565,0.01898998756379311,True
mfcc3V_sma3nz_stddevNorm,MFCC coefficient 3-coefficient of variation [vocal tract feature],-0.01882355903407512,-0.5434940502378316,-0.08670687015890241,0.04905975209075217,0.5867896862811712,False,0.733487107851464,False,0.019764645811575617,0.43790699186163096,False,0.0009410867775004952,0.9687141926843092,False
F2amplitudeLogRelF0_sma3nz_stddevNorm,F2-coefficient of variation [tongue position],-0.016694432686230956,-0.43384640396557855,-0.09211533687242485,0.058726471499962934,0.6643999818006021,False,0.819123265233619,False,-0.001611107258305245,0.9436264898817996,False,-0.018305539944536202,0.5657279995860081,False
loudness_sma3_percentile50.0,Loudness-median [intensity],-0.01071095091536346,-0.4146312813934997,-0.06134259579164294,0.039920693960916014,0.6784118449300574,False,0.8250954870770968,False,0.1533081047991575,0.008819234828370777,True,0.14259715388379404,0.03916170805443553,True
F2frequency_sma3nz_amean,F2-mean [tongue position],-0.01016262714102082,-0.3280093740432186,-0.07088878551531261,0.05056353123327097,0.742904574932457,False,0.8914854899189484,False,0.07801760646027363,0.05497167311524297,False,0.0678549793192528,0.11268160415325235,False
F3bandwidth_sma3nz_stddevNorm,F3-coefficient of variation [timbre],0.008197391879327963,0.27005362720472825,-0.05129778413362913,0.06769256789228506,0.7871189971360473,False,0.9066898513268403,False,-0.0794578362753523,0.048367396332867664,True,-0.07126044439602433,0.05530423354248848,False
loudness_sma3_meanFallingSlope,Loudness-falling slope [intensity],0.009233265272556976,0.2914616567434476,-0.05285792070509399,0.07132445125020795,0.7706982649571313,False,0.9066898513268403,False,-0.04231829885494216,0.18782019658040305,False,-0.03308503358238519,0.3464886749260594,False
F3frequency_sma3nz_amean,F3-mean [timbre],0.007287168922607491,0.2586928938915801,-0.04792444077200097,0.06249877861721596,0.7958722028313376,False,0.9066898513268403,False,-0.05797931898651185,0.21044483539273262,False,-0.05069215006390436,0.2459365142120562,False
mfcc2V_sma3nz_stddevNorm,MFCC coefficient 2-coefficient of variation [vocal tract feature],0.010067885114222817,0.27262879963174297,-0.06231278358450384,0.08244855381294947,0.7851385713636418,False,0.9066898513268403,False,-0.014296241923231983,0.6179341242319232,False,-0.004228356809009166,0.852613338802414,False
mfcc2_sma3_stddevNorm,MFCC coefficient 2-coefficient of variation [vocal tract feature],-0.007970799033532311,-0.21735594391652407,-0.07984721439267833,0.0639056163256137,0.8279309620878414,False,0.9314223323488217,False,0.013610093777356422,0.6366733038522736,False,0.005639294743824111,0.811762373919465,False
F1amplitudeLogRelF0_sma3nz_stddevNorm,F1-coefficient of variation [mouth opening],0.004857347739060533,0.12382943198341922,-0.07202584082174485,0.08174053629986591,0.9014503278021719,False,0.9690359576315853,False,0.002196985500099196,0.9221976013004086,False,0.007054333239159729,0.8271382766519328,False
F3bandwidth_sma3nz_amean,F3-mean [timbre],0.004042008834189526,0.1316204281957029,-0.05614877935586224,0.0642327970242413,0.8952845267369224,False,0.9690359576315853,False,0.11861350635162508,0.0011705170603980841,True,0.1226555151858146,0.001020116130046933,True
